db_id,question,gold_sql,predicted_sql,execution_accuracy
concert_singer,What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(Capacity) AS Average_Capacity, MAX(Capacity) AS Maximum_Capacity
FROM stadium;",MATCH
concert_singer,What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT Name, Capacity
FROM stadium
WHERE Stadium_ID = (
  SELECT Stadium_ID
  FROM concert
  JOIN (
    SELECT Stadium_ID, AVG(CAST(Capacity AS FLOAT)) AS Avg_Capacity
    FROM concert
    GROUP BY Stadium_ID
    ORDER BY Avg_Capacity DESC
    LIMIT 1
  ) AS Avg_Attendance
  ON concert.",PRED_FAIL: incomplete input
concert_singer,What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT Name, Capacity
FROM stadium
WHERE Stadium_ID = (
  SELECT Stadium_ID
  FROM concert
  JOIN (
    SELECT Stadium_ID, AVG(CAST(Capacity AS FLOAT)) AS Avg_Capacity
    FROM concert
    GROUP BY Stadium_ID
    ORDER BY Avg_Capacity DESC
    LIMIT 1
  ) AS Max_Avg_Capacity
  ON concert",PRED_FAIL: incomplete input
concert_singer,How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concert WHERE Year IN (2014, 2015);",MATCH
concert_singer,How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concert WHERE Year IN (2014, 2015);",MATCH
concert_singer,Show the stadium name and the number of concerts in each stadium.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT Stadium.Name, COUNT(Concert.concert_ID) as Number_of_Concerts
FROM Stadium
JOIN Concert ON Stadium.Stadium_ID = Concert.Stadium_ID
GROUP BY Stadium.Name;",MATCH
concert_singer,"For each stadium, how many concerts play there?","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT Stadium.Stadium_ID, COUNT(*) as Number_of_Concerts
FROM Stadium
JOIN concert ON Stadium.Stadium_ID = concert.Stadium_ID
GROUP BY Stadium.Stadium_ID;",MISMATCH
concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT s.Name, s.Capacity
FROM stadium s
JOIN (
 SELECT Stadium_ID, COUNT(*) as num_concerts
 FROM concert
 WHERE Year >= 2014
 GROUP BY Stadium_ID
 ORDER BY num_concerts DESC
 LIMIT 1
) c ON s.Stadium_ID = c.Stadium_ID;",MATCH
concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT Name, Capacity
FROM stadium
JOIN (
 SELECT Stadium_ID, COUNT(*) as num_concerts
 FROM concert
 WHERE Year > 2013
 GROUP BY Stadium_ID
 ORDER BY num_concerts DESC
 LIMIT 1
) AS most_concerts
ON stadium.Stadium_ID = most_concerts.Stadium_ID;",MATCH
concert_singer,Which year has most number of concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT Year, COUNT(*) as Number_of_Concerts
FROM concert
GROUP BY Year
ORDER BY Number_of_Concerts DESC
LIMIT 1;",MISMATCH
concert_singer,What is the year that had the most concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT Year, COUNT(*) as Number_of_Concerts
FROM concert
GROUP BY Year
ORDER BY Number_of_Concerts DESC
LIMIT 1;",MISMATCH
concert_singer,Show the stadium names without any concert.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),"SELECT s.Name
FROM Stadium s
LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID
WHERE c.concert_ID IS NULL;",MATCH
concert_singer,What are the names of the stadiums without any concerts?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),"SELECT Name
FROM stadium
WHERE Stadium_ID NOT IN (
  SELECT Stadium_ID
  FROM concert
)",MATCH
concert_singer,Show countries where a singer above age 40 and a singer below 30 are from.,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,"To answer the question, we need to join the `singer` table with itself to find singers from the same country who are above 40 and below 30 years old. Here's the SQL query:

```sql
SELECT s1.Country
FROM singer s1
JOIN singer s2 ON s1.Country = s2.Country
WHERE s1.Age > 40 AND s2.Age < 30","PRED_FAIL: near ""To"": syntax error"
concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014.,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,"SELECT Name
FROM stadium
WHERE Stadium_ID NOT IN (
  SELECT Stadium_ID
  FROM concert
  WHERE Year = 2014
);",MATCH
concert_singer,What are the names of all stadiums that did not have a concert in 2014?,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,"SELECT Name 
FROM stadium 
WHERE Stadium_ID NOT IN (
  SELECT Stadium_ID 
  FROM concert 
  WHERE Year = 2014
)",MATCH
concert_singer,Show the name and theme for all concerts and the number of singers in each concert.,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT s.Name AS concert_name, c.Theme AS concert_theme, COUNT(si.Singer_ID) AS number_of_singers
FROM concert c
JOIN stadium s ON c.Stadium_ID = s.Stadium_ID
LEFT JOIN singer_in_concert si ON c.concert_ID = si.concert_ID
GROUP BY c.concert_ID;",MISMATCH
concert_singer,"What are the names , themes , and number of singers for every concert ?","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","To get the names, themes, and number of singers for every concert, you can use a JOIN query to combine the `concert` and `singer_in_concert` tables, and then join that result with the `singer` table. Here's the SQL query:

```sql
SELECT c.concert_Name, t.Theme, s.Name, COUNT(*) as Number_of_Singers
FROM concert c
","PRED_FAIL: near ""To"": syntax error"
concert_singer,List singer names and number of concerts for each singer.,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.Name, COUNT(sc.concert_ID) as Number_of_Concerts
FROM singer s
JOIN singer_in_concert sc ON s.Singer_ID = sc.Singer_ID
GROUP BY s.Name;",MATCH
concert_singer,What are the names of the singers and number of concerts for each person?,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","To get the names of the singers and the number of concerts they have performed in, you can use the following SQL query:

```sql
SELECT s.Name, COUNT(*) as Number_of_Concerts
FROM singer s
INNER JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
INNER JOIN concert c ON sic.concert_ID = c.","PRED_FAIL: near ""To"": syntax error"
concert_singer,List all singer names in concerts in year 2014.,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,"SELECT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.concert_ID = c.concert_ID
WHERE c.Year = 2014;",MATCH
concert_singer,What are the names of the singers who performed in a concert in 2014?,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,"SELECT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.concert_ID = c.concert_ID
WHERE c.Year = 2014;",MATCH
concert_singer,what is the name and nation of the singer who have a song having 'Hey' in its name?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT s.Name, s.Country
 FROM singer s
 INNER JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
 INNER JOIN concert c ON sic.concert_ID = c.concert_ID
 WHERE c.concert_Name LIKE '%Hey%'",MISMATCH
concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT s.Name, s.Country
 FROM singer s
 INNER JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
 INNER JOIN concert c ON sic.concert_ID = c.concert_ID
 WHERE LOWER(c.concert_Name) LIKE '%hey%'",MISMATCH
concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT s.Name, s.Location
FROM stadium s
WHERE EXISTS (
  SELECT 1
  FROM concert c
  WHERE c.Stadium_ID = s.Stadium_ID
  AND c.Year IN (2014, 2015)
);",MISMATCH
concert_singer,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","To find the names and locations of the stadiums that had concerts in both 2014 and 2015, you can use the following SQL query:

```sql
SELECT s.Name, s.Location
FROM Stadium s
WHERE EXISTS (
  SELECT 1
  FROM Concert c1
  WHERE c1.Stadium_ID = s.Stadium_ID
  AND c1.Year","PRED_FAIL: near ""To"": syntax error"
concert_singer,Find the number of concerts happened in the stadium with the highest capacity .,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),"SELECT COUNT(*) FROM concert c
JOIN stadium s ON c.Stadium_ID = s.Stadium_ID
WHERE Capacity = (SELECT MAX(Capacity) FROM Stadium) ;",MATCH
concert_singer,What are the number of concerts that occurred in the stadium with the largest capacity ?,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),"SELECT COUNT(*) FROM concert
 WHERE Stadium_ID = (
 SELECT Stadium_ID FROM stadium
 ORDER BY Capacity DESC
 LIMIT 1
);",MATCH
pets_1,Find the number of pets whose weight is heavier than 10.,SELECT count(*) FROM pets WHERE weight  >  10,"SELECT COUNT(*)
FROM Pets
WHERE weight > 10;",MATCH
pets_1,How many pets have a greater weight than 10?,SELECT count(*) FROM pets WHERE weight  >  10,"SELECT COUNT(*)
FROM Pets
WHERE weight > 10;",MATCH
pets_1,Find the weight of the youngest dog.,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,"To find the weight of the youngest dog, you would first need to find the student who owns the youngest dog, and then find the details of that dog. Here's the SQL query for that:

```sql
SELECT Pets.weight
FROM Student AS S
JOIN Has_Pet AS HP ON S.StuID = HP.StuID
JOIN Pets AS P ON HP.PetID = P.PetID
WHERE S.M","PRED_FAIL: near ""To"": syntax error"
pets_1,How much does the youngest dog weigh?,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,"To find the youngest dog's weight, you need to first find the student with the youngest pet (dog), and then find the weight of that pet. Here's the SQL query for that:

```sql
SELECT Pets.weight
FROM Student AS S
JOIN Has_Pet AS HP ON S.StuID = HP.StuID
JOIN Pets AS P ON HP.PetID = P.PetID
WHERE S.M","PRED_FAIL: near ""To"": syntax error"
pets_1,Find the maximum weight for each type of pet. List the maximum weight and pet type.,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT Pets.PetType, MAX(Pets.weight) as MaxWeight
FROM Pets
GROUP BY Pets.PetType;",MISMATCH
pets_1,List the maximum weight and type for each type of pet.,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT Pets.PetType, MAX(Pets.weight) as MaxWeight
FROM Pets
GROUP BY Pets.PetType;",MISMATCH
pets_1,Find number of pets owned by students who are older than 20.,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,"SELECT COUNT(*) FROM Has_Pet HP
JOIN Student S ON HP.StuID = S.StuID
WHERE S.Age > 20;",MATCH
pets_1,How many pets are owned by students that have an age greater than 20?,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,"SELECT COUNT(*) FROM Has_Pet HP
JOIN Student S ON HP.StuID = S.StuID
WHERE S.Age > 20
AND EXISTS (
 SELECT * FROM Pets P
 WHERE HP.PetID = P.PetID
);",MATCH
pets_1,Find the number of dog pets that are raised by female students (with sex F).,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',"SELECT COUNT(Pets.PetID)
FROM Student AS S
JOIN Has_Pet AS HP ON S.StuID = HP.StuID
JOIN Pets AS P ON HP.PetID = P.PetID
WHERE S.Sex = 'F' AND P.PetType = 'Dog';",PRED_FAIL: no such column: Pets.PetID
pets_1,How many dog pets are raised by female students?,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',"To answer the question, we need to join the `Student`, `Has_Pet`, and `Pets` tables using their respective primary and foreign keys. We also need to filter the results to only include female students and dogs as pets. Here's the SQL query for that:

```sql
SELECT COUNT(*)
FROM Student AS s
JOIN Has_Pet AS hp ON s.StuID = hp.StuID
JOIN P","PRED_FAIL: near ""To"": syntax error"
pets_1,Find the number of distinct type of pets.,SELECT count(DISTINCT pettype) FROM pets,"SELECT COUNT(DISTINCT Pets.PetType) AS num_distinct_pet_types
FROM Pets;",MATCH
pets_1,How many different types of pet are there?,SELECT count(DISTINCT pettype) FROM pets,SELECT DISTINCT PetType FROM Pets;,MISMATCH
pets_1,Find the first name of students who have cat or dog pet.,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',"SELECT Fname FROM Student
INNER JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
INNER JOIN Pets ON Has_Pet.PetID = Pets.PetID
WHERE PetType IN ('Cat' , 'Dog') ;",MISMATCH
pets_1,What are the first names of every student who has a cat or dog as a pet?,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',"SELECT Student.Fname
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
JOIN Pets ON Has_Pet.PetID = Pets.PetID
WHERE Pets.PetType IN ('Cat' , 'Dog')",MISMATCH
pets_1,Find the first name of students who have both cat and dog pets .,select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',"To find the first name of students who have both cat and dog pets, you can use a subquery to find the students who have a cat and then another subquery to find the students who have a dog, and then join the results together using the Student table:

```sql
SELECT s.Fname
FROM Student s
WHERE s.StuID IN (
  SELECT hp1.StuID
  FROM Has_Pet hp1
","PRED_FAIL: near ""To"": syntax error"
pets_1,What are the students' first names who have both cats and dogs as pets?,SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog',"To find the students who have both cats and dogs as pets, you can use a subquery to find the students who have a cat and another subquery to find the students who have a dog, and then intersect the results to find the students who have both. Here's the SQL query:

```sql
SELECT s.Fname
FROM Student s
WHERE StuID IN (
  SELECT hp1.StuID
  FROM Has_","PRED_FAIL: near ""To"": syntax error"
pets_1,Find the major and age of students who do not have a cat pet.,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","SELECT Major, Age
FROM Student
WHERE StuID NOT IN (
  SELECT Has_Pet.StuID
  FROM Has_Pet
  INNER JOIN Pets ON Has_Pet.PetID = Pets.PetID
  WHERE PetType = 'cat'
)",MATCH
pets_1,"What major is every student who does not own a cat as a pet, and also how old are they?","SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","To find the major and age of students who do not own a cat as a pet, you can use the following SQL query:

```sql
SELECT Student.Major, Student.Age
FROM Student
WHERE StuID NOT IN (
  SELECT Has_Pet.StuID
  FROM Has_Pet
  JOIN Pets ON Has_Pet.PetID = Pets.PetID
  WHERE PetType = 'Cat'
","PRED_FAIL: near ""To"": syntax error"
pets_1,Find the id of students who do not have a cat pet.,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',"To find the IDs of students who do not have a cat pet, you can use the following SQL query:

```sql
SELECT s.StuID
FROM Student s
LEFT JOIN Has_Pet hp ON s.StuID = hp.StuID
LEFT JOIN Pets p ON hp.PetID = p.PetID
WHERE p.PetType != 'Cat' AND s.StuID IS NULL
``","PRED_FAIL: near ""To"": syntax error"
pets_1,What are the ids of the students who do not own cats as pets?,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',"SELECT Student.StuID
FROM Student
WHERE StuID NOT IN (
  SELECT Has_Pet.StuID
  FROM Has_Pet
  JOIN Pets ON Has_Pet.PetID = Pets.PetID
  WHERE Pets.PetType = 'cat'
)",MATCH
pets_1,Find the first name and age of students who have a dog but do not have a cat as a pet.,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","SELECT S.Fname, S.Age
FROM Student S
LEFT JOIN Has_Pet HP1 ON S.StuID = HP1.StuID
LEFT JOIN Pets P1 ON HP1.PetID = P1.PetID AND P1.PetType = 'Dog'
LEFT JOIN Has_Pet HP2 ON S.StuID = HP2.StuID
LEFT JOIN Pets P2 ON HP",PRED_FAIL: no such column: HP
pets_1,What is the first name of every student who has a dog but does not have a cat?,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","To find the first name of every student who has a dog but does not have a cat, you can use the following SQL query:

```sql
SELECT s.Fname
FROM Student s
JOIN Has_Pet hp1 ON s.StuID = hp1.StuID
JOIN Pets p1 ON hp1.PetID = p1.PetID
WHERE p1.PetType = 'Dog'
AND","PRED_FAIL: near ""To"": syntax error"
pets_1,Find the type and weight of the youngest pet.,"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1","To find the type and weight of the youngest pet, you can use the following SQL query:

```sql
SELECT Pets.PetType, Pets.pet_age, Pets.weight
FROM Pets
JOIN Has_Pet ON Pets.PetID = Has_Pet.PetID
(SELECT MIN(pet_age) as min_age, StuID
 FROM Has_Pet
 JOIN Student ON Has_Pet.StuID","PRED_FAIL: near ""To"": syntax error"
pets_1,"What type of pet is the youngest animal, and how much does it weigh?","SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1","To find the youngest animal and its weight, you can use the following SQL query:

```sql
SELECT Pets.PetType, Pets.weight
FROM Pets
JOIN Has_Pet ON Pets.PetID = Has_Pet.PetID
-- Assuming there can be multiple pets for a student, we need to find the minimum pet age for each student and then join with Pets table to get the pet type and weight
(
  SE","PRED_FAIL: near ""To"": syntax error"
pets_1,Find the id and weight of all pets whose age is older than 1.,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1","SELECT Pets.PetID, Pets.weight
FROM Pets
WHERE pet_age > 1;",MATCH
pets_1,What is the id and weight of every pet who is older than 1?,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1","SELECT Pets.PetID, Pets.weight
FROM Pets
WHERE pet_age > 1;",MATCH
pets_1,Find the average and maximum age for each type of pet.,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype","SELECT Pets.PetType, AVG(Pets.pet_age) AS avg_age, MAX(Pets.pet_age) AS max_age
FROM Pets
GROUP BY Pets.PetType;",MISMATCH
pets_1,What is the average and maximum age for each pet type?,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype","SELECT Pets.PetType, AVG(Pets.pet_age) AS avg_age, MAX(Pets.pet_age) AS max_age
FROM Pets
GROUP BY Pets.PetType;",MISMATCH
pets_1,Find the average weight for each pet type.,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype","SELECT Pets.PetType, AVG(Pets.weight) as avg_weight
FROM Pets
GROUP BY Pets.PetType;",MISMATCH
pets_1,What is the average weight for each type of pet?,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype","SELECT Pets.PetType, AVG(Pets.weight) as AvgWeight
FROM Pets
GROUP BY Pets.PetType;",MISMATCH
